"GeneName"	"NAc1"	"NAc2"	"NAc3"	"NAc4"	"DG1"	"DG2"	"DG3"	"DG4"
"LOC691995"	1.43666209637759	1.23054347678538	1.59991454391156	1.48170759101249	-0.785632152506312	-0.642242183542467	-0.0759439004872355	-0.950038099059082
"Lhx8"	1.55036520664642	1.98046071269848	1.41552977384165	1.58369464717237	-0.648708158973728	-0.657589995174923	-0.666366167496778	-0.64876289438196
"Gprin3"	1.28247233149956	1.36025667833191	1.75886055725372	1.33343278596792	-0.696305144282259	-0.636146090654429	-0.714359575045122	-0.724440375846828
"AABR07040095.1"	1.47745341011277	1.24300197397278	1.55744039681362	1.51382329489937	-0.318211128714725	-0.294392344920171	-0.864419089469994	-0.118630851952595
"Meis2"	1.10639190178615	2.10864504168777	1.38483713275641	1.08584331680488	-0.696159851410578	-0.745153680866597	-0.484712494487928	-0.78995242837754
"Rtl9"	1.3043814388849	1.08456566190039	2.37138293953232	1.4723523513697	-0.386968672497607	-0.505664802142559	-0.965059308029548	-0.158713499095125
"AABR07040887.1"	1.72836265274354	0.521140935450121	1.78813712398925	1.93040726380858	0.0237456481791772	-0.0381391590679215	-0.0659262336777861	-0.126785370928674
"Ecel1"	1.63219811512936	1.56032726601936	1.37055675703898	1.72066569586037	-0.714622851337906	-0.688168149903073	-0.426541299722164	-0.772464889638748
"Zar1"	1.67740054841	1.45240872042483	0.94900105083458	1.94332393790007	-0.649368909047598	-0.7186401872449	-0.787087370985225	-0.581062259715527
"Htr1d"	1.11510309846794	2.43400154248338	1.21285715557391	1.04882037947099	-0.606530858474346	-0.657503799293045	-0.757762898970689	-0.581880503909389
"Stk32a"	1.12621979229464	1.48982349317007	1.9485233134162	1.11317119087367	-0.869415099801886	-0.879725953152895	-0.897803671116238	-0.855970742714143
"Ngef"	1.1257422451609	1.90410001150397	1.3986027007321	1.19753557007872	-0.15966474293259	-0.25299757015195	-0.842969858747958	-0.00307968165871594
"Slc18a3"	1.56199948595238	1.7188753136213	1.28094408439235	1.62737368912866	-0.66340335459699	-0.6725058899776	-0.776789465330689	-0.62016664580448
"AABR07020966.1"	1.11013154854838	1.53927624241852	2.23052005748425	1.13367335481624	-0.282559154151252	-0.284401974300667	0.158571648058316	-0.50433368248533
"Gpr101"	1.10927903510032	1.33031841383772	2.30111705118992	1.06785179245276	-0.76214430340819	-0.745926675287358	-0.737383417055157	-0.766483618361851
"Dgkb"	1.10136615292927	1.59198342984776	1.59305662345521	1.14474638737453	-0.966248433728552	-0.96452357258081	-1.12296612632768	-0.899462587154441
"LOC304725"	0.927122937986639	1.52693525452696	2.08939036594497	0.84027660696905	-0.637786467761786	-0.601035200143135	-0.618746930815751	-0.667917067417129
"Pnpla1"	1.69068132821621	0.40566817137118	1.22514241060617	2.16078521025775	-0.510526950772606	-0.657177267095858	-0.799399831001809	-0.483680091212185
"Stk26"	1.18286127997357	0.762736240439224	2.29908094270889	1.24150430940189	-0.759783962849681	-0.692810846788526	-0.482226014971914	-0.784669838240438
"Ctxn3"	0.639412950048366	3.23081174506306	0.504337719185083	0.530705154137141	-0.144771306065652	-0.20199846946321	-0.58617993157363	0.0188130893862901
"Htr6"	1.02259238254354	1.88144599500298	1.60638714562682	1.02192837616909	-0.73412749756944	-0.775101855821524	-0.889637369697611	-0.684120270702231
"Calcr"	1.23429297033194	0.589383707662522	2.69238690804774	1.27372087212294	-0.58937289914752	-0.60619688075949	-0.688872456407007	-0.556466492580306
"Chat"	1.58953823024513	1.56739568852191	1.52395217951753	1.68466117638641	-0.657434415396188	-0.66876269127241	-0.712881040195566	-0.652097965800812
"Fndc9"	1.46324289749569	1.25793790606486	1.56570783552185	1.6201254799081	-0.871981258068386	-0.658144052488591	0.314738338784464	-1.08868241196888
"Kcnh4"	1.24428200864917	1.80651421725722	1.30474580291385	1.29084949431455	-0.309816171063526	-0.552014966336462	-1.18206013568572	0.0335571411708155
"Tac1"	1.4990274848383	1.33961492173066	1.63670531345655	1.5638441873141	-0.763609617458672	-0.768106563162055	-0.589764075539456	-0.82065171664525
