"digit","M_connections","Time","Accuracy.FF","Accuracy.baseline","release.probability"
4,5,10,92.95,90.18,1
2,5,10,93.11,89.68,1
3,5,20,89.93,89.9,0.5
5,5,50,92.56,91.08,1
0,5,30,93.07,90.2,1
2,5,60,93.97,89.68,1
9,5,10,90.67,89.91,1
8,5,50,90.97,90.26,1
9,5,20,90.99,89.91,1
9,5,40,92.07,89.91,1
0,5,30,92.59,90.2,1
2,5,20,90.77,89.68,0.5
7,5,20,91.2833333333333,89.72,0.5
5,5,100,91.82,91.08,1
1,5,100,92.39,88.65,1
3,5,20,90.0066666666667,89.9,0.5
4,5,60,91.28,90.18,1
3,5,20,89.9,89.9,1
5,5,30,92,91.08,1
4,5,40,92.86,90.18,1
0,5,40,92.77,90.2,1
3,5,50,93.34,89.9,1
2,5,30,93.26,89.68,0.5
6,5,30,94.38,90.42,1
2,5,60,89.78,89.68,0.25
5,5,40,93.06,91.08,1
7,5,30,93.1366666666667,89.72,0.5
9,5,40,92.06,89.91,1
0,5,40,92.73,90.2,1
3,5,40,93.74,89.9,1
3,5,20,89.93,89.9,1
7,5,30,93.91,89.72,0.5
7,5,10,94.13,89.72,1
7,5,10,91.28,89.72,1
2,5,30,94.21,89.68,0.5
1,5,50,93.79,88.65,1
2,5,20,92.9033333333333,89.68,0.5
4,5,60,91.6,90.18,1
2,5,20,94.74,89.68,1
3,5,10,92.18,89.9,1
7,5,80,93.42,89.72,1
4,5,20,92.67,90.18,1
2,5,30,89.95,89.68,1
7,5,100,93.01,89.72,1
7,5,40,94.87,89.72,1
5,5,40,92.15,91.08,1
8,5,40,91.49,90.26,1
1,5,60,94.39,88.65,1
7,5,40,95.32,89.72,1
3,5,20,92.53,89.9,1
1,5,40,92.8,88.65,1
6,5,60,94.24,90.42,1
0,5,80,91.52,90.2,1
0,5,40,93.05,90.2,1
0,5,50,92.96,90.2,1
9,5,80,90.1333333333333,89.91,0.5
3,5,20,92.04,89.9,0.5
6,5,50,95.28,90.42,1
3,5,10,91.78,89.9,1
5,5,10,91.26,91.08,1
